Designator,Mid X,Mid Y,Rotation,Layer
C3,21.700000,-2.200000,90.000000,bottom
C4,71.900000,-12.500000,270.000000,bottom
C5,66.200000,-12.850000,270.000000,bottom
C6,65.850000,-9.350000,90.000000,bottom
C7,32.700000,-38.000000,90.000000,bottom
C8,66.200000,-19.700000,270.000000,bottom
C9,71.500000,-15.650000,90.000000,bottom
C10,73.000000,-22.200000,270.000000,bottom
C11,69.000000,-20.900000,0.000000,bottom
C25,14.800000,-2.200000,90.000000,bottom
C26,17.000000,-2.200000,90.000000,bottom
C27,10.500000,-7.850000,90.000000,bottom
C28,8.500000,-7.850000,90.000000,bottom
C29,12.500000,-7.850000,90.000000,bottom
C30,15.000000,-7.700000,90.000000,bottom
C32,59.700000,-20.500000,90.000000,bottom
C33,55.700000,-27.000000,90.000000,bottom
C34,65.500000,-25.500000,90.000000,bottom
D4,49.000000,-47.800000,180.000000,bottom
J1,39.000000,-46.600000,180.000000,bottom
J3,70.600000,-36.500000,90.000000,bottom
L2,74.550000,-18.000000,90.000000,bottom
Q2,59.000000,-27.500000,0.000000,bottom
R1,42.200000,-39.700000,90.000000,bottom
R2,35.600000,-39.700000,90.000000,bottom
R3,22.800000,-5.500000,270.000000,bottom
R4,25.200000,-5.500000,270.000000,bottom
R5,26.100000,-2.200000,90.000000,bottom
R6,23.900000,-2.200000,90.000000,bottom
R7,73.500000,-10.100000,0.000000,bottom
R8,75.200000,-12.700000,270.000000,bottom
R9,66.500000,-5.600000,90.000000,bottom
R10,66.500000,-2.200000,90.000000,bottom
R11,39.300000,-34.600000,90.000000,bottom
R12,41.500000,-34.600000,90.000000,bottom
R13,68.700000,-5.600000,90.000000,bottom
R14,66.200000,-16.250000,270.000000,bottom
R15,69.000000,-14.900000,0.000000,bottom
R16,63.500000,-34.600000,90.000000,bottom
R21,12.600000,-2.200000,90.000000,bottom
R22,19.200000,-2.200000,90.000000,bottom
R23,32.700000,-34.600000,90.000000,bottom
R24,30.500000,-34.600000,90.000000,bottom
R25,16.950000,-7.850000,90.000000,bottom
R26,18.850000,-7.850000,90.000000,bottom
R33,45.900000,-45.200000,90.000000,bottom
R34,76.700000,-34.600000,90.000000,bottom
R35,50.000000,-20.500000,0.000000,bottom
R36,50.000000,-22.500000,0.000000,bottom
R37,50.000000,-24.500000,0.000000,bottom
R38,60.000000,-23.500000,0.000000,bottom
R39,63.700000,-26.500000,90.000000,bottom
U1,13.250000,-19.500000,270.000000,bottom
U2,69.000000,-10.500000,0.000000,bottom
U3,69.000000,-18.000000,0.000000,bottom
U4,39.000000,-38.900000,90.000000,bottom
U5,69.000000,-26.500000,0.000000,bottom
U7,55.000000,-22.500000,0.000000,bottom
C12,42.100000,-39.500000,0.000000,top
C13,49.200000,-41.000000,90.000000,top
C14,46.000000,-36.000000,90.000000,top
C15,48.800000,-43.500000,180.000000,top
C16,60.000000,-46.100000,0.000000,top
C17,56.500000,-28.700000,180.000000,top
C18,56.500000,-33.100000,180.000000,top
C19,60.000000,-33.100000,180.000000,top
C20,56.500000,-30.900000,180.000000,top
C21,60.000000,-30.900000,180.000000,top
C22,60.000000,-28.700000,180.000000,top
C23,56.500000,-26.500000,180.000000,top
C24,60.000000,-26.500000,180.000000,top
D1,67.000000,-46.400000,0.000000,top
D2,55.500000,-47.300000,0.000000,top
D3,55.500000,-44.600000,180.000000,top
J2,64.660000,-35.080000,90.000000,top
L1,53.400000,-41.000000,0.000000,top
Q1,58.600000,-40.200000,180.000000,top
R18,49.200000,-37.500000,90.000000,top
R19,60.000000,-43.100000,180.000000,top
R20,58.600000,-37.700000,180.000000,top
R27,48.300000,-33.500000,180.000000,top
R28,44.900000,-33.500000,180.000000,top
R29,51.700000,-35.500000,180.000000,top
R30,55.100000,-35.500000,180.000000,top
R31,58.500000,-35.500000,180.000000,top
R32,55.100000,-37.700000,180.000000,top
SW1,24.000000,-8.500000,0.000000,top
SW2,50.000000,-8.500000,0.000000,top
U6,46.000000,-39.500000,0.000000,top
