Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF","C_0603_1608Metric",21.700000,-2.200000,90.000000,bottom
"C4","10uF 10V","C_0603_1608Metric",71.900000,-12.500000,-90.000000,bottom
"C5","10uF 25V","C_0805_2012Metric",66.200000,-12.850000,-90.000000,bottom
"C6","10uF 10V","C_0603_1608Metric",65.850000,-9.350000,90.000000,bottom
"C7","100nF","C_0603_1608Metric",32.700000,-38.000000,90.000000,bottom
"C8","47uF 10V","C_0805_2012Metric",66.200000,-19.700000,-90.000000,bottom
"C9","22uF 6.3V","C_0603_1608Metric",71.500000,-15.650000,90.000000,bottom
"C10","47uF 10V","C_0805_2012Metric",73.000000,-22.200000,-90.000000,bottom
"C11","100nF","C_0603_1608Metric",69.000000,-20.900000,0.000000,bottom
"C25","10nF","C_0603_1608Metric",14.800000,-2.200000,90.000000,bottom
"C26","10nF","C_0603_1608Metric",17.000000,-2.200000,90.000000,bottom
"C27","1uF","C_0603_1608Metric",10.500000,-7.850000,90.000000,bottom
"C28","100nF","C_0603_1608Metric",8.500000,-7.850000,90.000000,bottom
"C29","10uF","C_0603_1608Metric",12.500000,-7.850000,90.000000,bottom
"C30","47uF 10V","C_0805_2012Metric",15.000000,-7.700000,90.000000,bottom
"C32","100nF","C_0603_1608Metric",59.700000,-20.500000,90.000000,bottom
"C33","100nF","C_0603_1608Metric",55.700000,-27.000000,90.000000,bottom
"C34","10uF 10V","C_0603_1608Metric",65.500000,-25.500000,90.000000,bottom
"D4","APBA2006SURKCGKC red/green","LED_Kingbright_APBA2006SURKCGKC",49.000000,-47.800000,180.000000,bottom
"J1","USB-C receptacle","USB_C_Receptacle_HRO_TYPE-C-31-M-12_EdgeOverhang",39.000000,-46.600000,180.000000,bottom
"J3","Protected LiPo + NTC","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",70.600000,-36.500000,90.000000,bottom
"L2","0.47uH XFL4015-471ME","L_Coilcraft_XFL4015",74.550000,-18.000000,90.000000,bottom
"Q2","2N7002P","SOT-23",59.000000,-27.500000,0.000000,bottom
"R1","5.1k","R_0603_1608Metric",42.200000,-39.700000,90.000000,bottom
"R2","5.1k","R_0603_1608Metric",35.600000,-39.700000,90.000000,bottom
"R3","22","R_0603_1608Metric",22.800000,-5.500000,-90.000000,bottom
"R4","22","R_0603_1608Metric",25.200000,-5.500000,-90.000000,bottom
"R5","100k","R_0603_1608Metric",26.100000,-2.200000,90.000000,bottom
"R6","150k","R_0603_1608Metric",23.900000,-2.200000,90.000000,bottom
"R7","18k","R_0603_1608Metric",73.500000,-10.100000,0.000000,bottom
"R8","1.20k","R_0603_1608Metric",75.200000,-12.700000,-90.000000,bottom
"R9","10k","R_0603_1608Metric",66.500000,-5.600000,90.000000,bottom
"R10","10k","R_0603_1608Metric",66.500000,-2.200000,90.000000,bottom
"R11","1M","R_0603_1608Metric",39.300000,-34.600000,90.000000,bottom
"R12","470k","R_0603_1608Metric",41.500000,-34.600000,90.000000,bottom
"R13","4.7k","R_0603_1608Metric",68.700000,-5.600000,90.000000,bottom
"R14","511k 1%","R_0603_1608Metric",66.200000,-16.250000,-90.000000,bottom
"R15","91k 1%","R_0603_1608Metric",69.000000,-14.900000,0.000000,bottom
"R16","100k","R_0603_1608Metric",63.500000,-34.600000,90.000000,bottom
"R21","22k","R_0603_1608Metric",12.600000,-2.200000,90.000000,bottom
"R22","22k","R_0603_1608Metric",19.200000,-2.200000,90.000000,bottom
"R23","1k","R_0603_1608Metric",32.700000,-34.600000,90.000000,bottom
"R24","1k","R_0603_1608Metric",30.500000,-34.600000,90.000000,bottom
"R25","10k","R_0603_1608Metric",16.950000,-7.850000,90.000000,bottom
"R26","10k","R_0603_1608Metric",18.850000,-7.850000,90.000000,bottom
"R33","0","R_0603_1608Metric",45.900000,-45.200000,90.000000,bottom
"R34","0","R_0603_1608Metric",76.700000,-34.600000,90.000000,bottom
"R35","820k","R_0603_1608Metric",50.000000,-20.500000,0.000000,bottom
"R36","210k","R_0603_1608Metric",50.000000,-22.500000,0.000000,bottom
"R37","82.5k","R_0603_1608Metric",50.000000,-24.500000,0.000000,bottom
"R38","100k","R_0603_1608Metric",60.000000,-23.500000,0.000000,bottom
"R39","100k","R_0603_1608Metric",63.700000,-26.500000,90.000000,bottom
"U1","ESP32-S3-WROOM-1-N16","ESP32-S3-WROOM-1",13.250000,-19.500000,-90.000000,bottom
"U2","BQ25185DLH","Texas_DLH0010A_WSON-10-1EP_2.2x2mm_P0.4mm_EP0.9x1.5mm_ThermalVias",69.000000,-10.500000,0.000000,bottom
"U3","TPS63802DLA","Texas_DLA0010A_VSON-HR-10_2x3mm_P0.5mm",69.000000,-18.000000,0.000000,bottom
"U4","USBLC6-2SC6","SOT-23-6",39.000000,-38.900000,90.000000,bottom
"U5","TPS22917DBVR","SOT-23-6",69.000000,-26.500000,0.000000,bottom
"U7","TLV9022DGK","VSSOP-8_3x3mm_P0.65mm",55.000000,-22.500000,0.000000,bottom
"C12","1uF","C_0603_1608Metric",42.100000,-39.500000,0.000000,top
"C13","10uF","C_0603_1608Metric",49.200000,-41.000000,90.000000,top
"C14","1nF","C_0603_1608Metric",46.000000,-36.000000,90.000000,top
"C15","4.7uF 25V","C_0805_2012Metric",48.800000,-43.500000,180.000000,top
"C16","4.7uF 25V","C_0805_2012Metric",60.000000,-46.100000,0.000000,top
"C17","1uF 25V","C_0603_1608Metric",56.500000,-28.700000,180.000000,top
"C18","1uF 25V","C_0603_1608Metric",56.500000,-33.100000,180.000000,top
"C19","1uF 25V","C_0603_1608Metric",60.000000,-33.100000,180.000000,top
"C20","1uF 25V","C_0603_1608Metric",56.500000,-30.900000,180.000000,top
"C21","1uF 25V","C_0603_1608Metric",60.000000,-30.900000,180.000000,top
"C22","1uF 25V","C_0603_1608Metric",60.000000,-28.700000,180.000000,top
"C23","1uF 25V","C_0603_1608Metric",56.500000,-26.500000,180.000000,top
"C24","1uF 25V","C_0603_1608Metric",60.000000,-26.500000,180.000000,top
"D1","MBR0530","D_SOD-123",67.000000,-46.400000,0.000000,top
"D2","MBR0530","D_SOD-123",55.500000,-47.300000,0.000000,top
"D3","MBR0530","D_SOD-123",55.500000,-44.600000,180.000000,top
"J2","GDEY0213B74","Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal",64.660000,-35.080000,90.000000,top
"L1","47uH VLS4012CX-470M-1","L_TDK_VLS4012",53.400000,-41.000000,0.000000,top
"Q1","Si1308EDL","SOT-323_SC-70",58.600000,-40.200000,180.000000,top
"R18","150","R_0603_1608Metric",49.200000,-37.500000,90.000000,top
"R19","1M","R_0603_1608Metric",60.000000,-43.100000,180.000000,top
"R20","2.2","R_0603_1608Metric",58.600000,-37.700000,180.000000,top
"R27","470","R_0603_1608Metric",48.300000,-33.500000,180.000000,top
"R28","470","R_0603_1608Metric",44.900000,-33.500000,180.000000,top
"R29","470","R_0603_1608Metric",51.700000,-35.500000,180.000000,top
"R30","470","R_0603_1608Metric",55.100000,-35.500000,180.000000,top
"R31","470","R_0603_1608Metric",58.500000,-35.500000,180.000000,top
"R32","1M","R_0603_1608Metric",55.100000,-37.700000,180.000000,top
"SW1","CATEGORY KSC323GLFG","SW_Push_1P1T_NO_CK_KSC6xxG",24.000000,-8.500000,0.000000,top
"SW2","NEXT KSC323GLFG","SW_Push_1P1T_NO_CK_KSC6xxG",50.000000,-8.500000,0.000000,top
"U6","TPS22917DBVR","SOT-23-6",46.000000,-39.500000,0.000000,top
