Designator,Mid X,Mid Y,Rotation,Layer
C3,43.500000,-49.500000,0.000000,top
C4,83.700000,-44.100000,180.000000,top
C5,76.800000,-39.000000,180.000000,top
C6,76.800000,-41.500000,180.000000,top
C7,72.500000,-40.000000,0.000000,top
C8,65.800000,-42.300000,0.000000,top
C9,71.000000,-48.700000,0.000000,top
C10,81.000000,-49.500000,0.000000,top
C11,72.500000,-42.000000,0.000000,top
C12,74.000000,-15.000000,0.000000,top
C13,73.500000,-17.000000,0.000000,top
C14,88.500000,-14.000000,0.000000,top
C15,75.000000,-12.500000,180.000000,top
C16,86.500000,-18.000000,180.000000,top
C17,82.000000,-25.500000,0.000000,top
C18,82.000000,-28.000000,0.000000,top
C19,78.000000,-25.500000,0.000000,top
C20,86.000000,-28.000000,0.000000,top
C21,86.000000,-25.500000,0.000000,top
C22,78.500000,-23.000000,0.000000,top
C23,78.000000,-28.000000,0.000000,top
C24,82.000000,-30.500000,0.000000,top
C25,43.500000,-47.500000,0.000000,top
C26,40.000000,-51.500000,0.000000,top
C27,36.500000,-45.500000,0.000000,top
C28,36.500000,-49.500000,0.000000,top
C29,42.500000,-43.000000,0.000000,top
C30,40.000000,-47.500000,0.000000,top
C32,81.000000,-37.500000,0.000000,top
C33,77.500000,-37.000000,0.000000,top
C34,78.500000,-31.500000,0.000000,top
D1,83.000000,-21.500000,0.000000,top
D2,91.500000,-16.500000,90.000000,top
D3,85.500000,-12.500000,90.000000,top
D4,86.000000,-58.500000,0.000000,top
J1,75.000000,-58.100000,0.000000,top
J2,90.180000,-29.500000,90.000000,top
J3,67.000000,-29.500000,270.000000,top
L1,80.000000,-11.500000,0.000000,top
L2,73.500000,-45.500000,270.000000,top
Q1,82.000000,-15.500000,0.000000,top
Q2,85.000000,-38.500000,0.000000,top
R1,83.000000,-53.000000,0.000000,top
R2,87.000000,-53.000000,0.000000,top
R3,29.000000,-56.500000,180.000000,top
R4,29.000000,-58.500000,180.000000,top
R5,33.000000,-45.500000,0.000000,top
R6,33.000000,-49.500000,0.000000,top
R7,69.500000,-38.000000,0.000000,top
R8,85.600000,-50.000000,0.000000,top
R9,68.000000,-52.500000,0.000000,top
R10,73.000000,-37.500000,0.000000,top
R11,69.000000,-40.000000,0.000000,top
R12,83.500000,-47.500000,0.000000,top
R13,83.500000,-42.000000,0.000000,top
R14,65.500000,-46.000000,0.000000,top
R15,65.500000,-48.000000,180.000000,top
R16,87.000000,-45.500000,0.000000,top
R18,71.000000,-19.000000,0.000000,top
R19,77.500000,-15.500000,180.000000,top
R20,79.000000,-18.500000,180.000000,top
R21,36.500000,-51.500000,0.000000,top
R22,46.000000,-41.500000,0.000000,top
R23,43.500000,-51.500000,0.000000,top
R24,40.000000,-53.500000,0.000000,top
R25,35.500000,-41.500000,0.000000,top
R26,36.500000,-53.500000,0.000000,top
R27,70.500000,-14.500000,0.000000,top
R28,78.000000,-8.000000,0.000000,top
R29,88.500000,-12.000000,0.000000,top
R30,71.000000,-21.000000,0.000000,top
R31,70.000000,-16.500000,0.000000,top
R32,74.500000,-25.000000,0.000000,top
R33,43.500000,-53.500000,0.000000,top
R34,71.500000,-25.500000,0.000000,top
R35,75.000000,-31.500000,0.000000,top
R36,85.500000,-32.000000,0.000000,top
R37,91.000000,-9.500000,0.000000,top
R38,85.500000,-30.000000,0.000000,top
R39,74.500000,-29.500000,0.000000,top
SW1,99.600000,-14.000000,90.000000,top
SW2,99.600000,-48.800000,90.000000,top
U1,13.250000,-50.500000,90.000000,top
U2,80.000000,-45.500000,0.000000,top
U3,69.000000,-45.500000,0.000000,top
U4,75.000000,-49.900000,90.000000,top
U5,74.000000,-34.500000,0.000000,top
U6,74.000000,-8.500000,0.000000,top
U7,81.000000,-34.500000,0.000000,top
