Ref,Val,Package,PosX,PosY,Rot,Side
C3,100nF,C_0603_1608Metric,43.500000,-49.500000,0.000000,top
C4,10uF 10V,C_0603_1608Metric,83.700000,-44.100000,180.000000,top
C5,10uF 25V,C_0805_2012Metric,76.800000,-39.000000,180.000000,top
C6,10uF 10V,C_0603_1608Metric,76.800000,-41.500000,180.000000,top
C7,100nF,C_0603_1608Metric,72.500000,-40.000000,0.000000,top
C8,47uF 10V,C_0805_2012Metric,65.800000,-42.300000,0.000000,top
C9,22uF 6.3V,C_0603_1608Metric,71.000000,-48.700000,0.000000,top
C10,47uF 10V,C_0805_2012Metric,81.000000,-49.500000,0.000000,top
C11,100nF,C_0603_1608Metric,72.500000,-42.000000,0.000000,top
C12,1uF,C_0603_1608Metric,74.000000,-15.000000,0.000000,top
C13,10uF,C_0603_1608Metric,73.500000,-17.000000,0.000000,top
C14,1nF,C_0603_1608Metric,88.500000,-14.000000,0.000000,top
C15,4.7uF 50V,C_1206_3216Metric,75.000000,-12.500000,180.000000,top
C16,4.7uF 50V,C_1206_3216Metric,86.500000,-18.000000,180.000000,top
C17,1uF 50V,C_0805_2012Metric,82.000000,-25.500000,0.000000,top
C18,1uF 50V,C_0805_2012Metric,82.000000,-28.000000,0.000000,top
C19,1uF 50V,C_0805_2012Metric,78.000000,-25.500000,0.000000,top
C20,1uF 50V,C_0805_2012Metric,86.000000,-28.000000,0.000000,top
C21,1uF 50V,C_0805_2012Metric,86.000000,-25.500000,0.000000,top
C22,1uF 50V,C_0805_2012Metric,78.500000,-23.000000,0.000000,top
C23,1uF 50V,C_0805_2012Metric,78.000000,-28.000000,0.000000,top
C24,1uF 50V,C_0805_2012Metric,82.000000,-30.500000,0.000000,top
C25,10nF,C_0603_1608Metric,43.500000,-47.500000,0.000000,top
C26,10nF,C_0603_1608Metric,40.000000,-51.500000,0.000000,top
C27,1uF,C_0603_1608Metric,36.500000,-45.500000,0.000000,top
C28,100nF,C_0603_1608Metric,36.500000,-49.500000,0.000000,top
C29,10uF,C_0603_1608Metric,42.500000,-43.000000,0.000000,top
C30,47uF 10V,C_0805_2012Metric,40.000000,-47.500000,0.000000,top
C32,100nF,C_0603_1608Metric,81.000000,-37.500000,0.000000,top
C33,100nF,C_0603_1608Metric,77.500000,-37.000000,0.000000,top
C34,10uF 10V,C_0603_1608Metric,78.500000,-31.500000,0.000000,top
D1,MBR0530,D_SOD-123,83.000000,-21.500000,0.000000,top
D2,MBR0530,D_SOD-123,91.500000,-16.500000,90.000000,top
D3,MBR0530,D_SOD-123,85.500000,-12.500000,90.000000,top
D4,APBA2006SURKCGKC red/green,LED_Kingbright_APBA2006SURKCGKC,86.000000,-58.500000,0.000000,top
J1,USB-C receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12_EdgeOverhang,75.000000,-58.100000,0.000000,top
J2,Waveshare 3.52in V1.1 UC8253,Molex_503480-2400_1x24_P0.5mm,90.180000,-29.500000,90.000000,top
J3,Battery + external 10k B3435 NTC,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,67.000000,-29.500000,-90.000000,top
L1,68uH,L_TDK_VLS4012,80.000000,-11.500000,0.000000,top
L2,0.47uH XFL4015-471ME,L_Coilcraft_XFL4015,73.500000,-45.500000,-90.000000,top
Q1,BSS138,SOT-23,82.000000,-15.500000,0.000000,top
Q2,2N7002P,SOT-23,85.000000,-38.500000,0.000000,top
R1,5.1k,R_0603_1608Metric,83.000000,-53.000000,0.000000,top
R2,5.1k,R_0603_1608Metric,87.000000,-53.000000,0.000000,top
R3,22,R_0603_1608Metric,29.000000,-56.500000,180.000000,top
R4,22,R_0603_1608Metric,29.000000,-58.500000,180.000000,top
R5,100k,R_0603_1608Metric,33.000000,-45.500000,0.000000,top
R6,150k,R_0603_1608Metric,33.000000,-49.500000,0.000000,top
R7,18k,R_0603_1608Metric,69.500000,-38.000000,0.000000,top
R8,3.00k,R_0603_1608Metric,85.600000,-50.000000,0.000000,top
R9,10k,R_0603_1608Metric,68.000000,-52.500000,0.000000,top
R10,10k,R_0603_1608Metric,73.000000,-37.500000,0.000000,top
R11,1M,R_0603_1608Metric,69.000000,-40.000000,0.000000,top
R12,470k,R_0603_1608Metric,83.500000,-47.500000,0.000000,top
R13,4.7k,R_0603_1608Metric,83.500000,-42.000000,0.000000,top
R14,511k 1%,R_0603_1608Metric,65.500000,-46.000000,0.000000,top
R15,91k 1%,R_0603_1608Metric,65.500000,-48.000000,180.000000,top
